year,N_bt,N_bt_se,N_c,N_c_se,N_of,N_of_se,H_bt,H_bt_se,H_dobt,H_dobt_se,H_c,H_c_se,H_of,H_of_se,RN_bt,RN_bt_se,RH_bt,RH_bt_se,N_dvc,N_dvc_se,N_dbt,N_dbt_se,N_dof,N_dof_se,N_dobt,N_dobt_se,H_dvc,H_dvc_se,H_dbt,H_dbt_se,H_dof,H_dof_se,RN_dbt,RN_dbt_se,RH_dbt,RH_dbt_se,C_bt,C_bt_se,V_bt,V_bt_se,C_of,C_of_se,V_of,V_of_se,C_bt_eez,C_bt_eez_se,V_bt_eez,V_bt_eez_se,C_bt_byeez,C_bt_byeez_se,V_bt_byeez,V_bt_byeez_se,C_bt_dom,C_bt_dom_se,V_bt_dom,V_bt_dom_se,C_bt_bydom,C_bt_bydom_se,V_bt_bydom,V_bt_bydom_se,all_c,all_c_se,all_v,all_v_se,RC_bt_all,RC_bt_all_se,RV_bt_all,RV_bt_all_se,RC_bt_eez,RC_bt_eez_se,RV_bt_eez,RV_bt_eez_se,RC_bt_dom,RC_bt_dom_se,RV_bt_dom,RV_bt_dom_se,HpV_bt,HpV_bt_se,HpV_of,HpV_of_se,HpV_dbt,HpV_dbt_se,HpV_dobt,HpV_dobt_se,HpV_c,HpV_c_se,HpV_dc,HpV_dc_se,HpV_dof,HpV_dof_se,RHpV_bt_of,RHpV_bt_of_se,RHpV_dbt_dobt,RHpV_dbt_dobt_se,RHpV_dbt_dof,RHpV_dbt_dof_se,CpH_bt,CpH_bt_se,CpH_of,CpH_of_se,CpH_dobt,CpH_dobt_se,CpH_dbt,CpH_dbt_se,RCpH_dbt_dobt,RCpH_dbt_dobt_se,RCpH_bt_of,RCpH_bt_of_se,VpH_dobt,VpH_dobt_se,VpH_bt,VpH_bt_se,VpH_dbt,VpH_dbt_se,VpH_of,VpH_of_se,RVpH_bt_of,RVpH_bt_of_se,RVpH_dbt_dobt,RVpH_dbt_dobt_se,VpC_bt,VpC_bt_se,VpC_of,VpC_of_se,VpC_bt_eez,VpC_bt_eez_se,VpC_bt_byeez,VpC_bt_byeez_se,VpC_bt_dom,VpC_bt_dom_se,VpC_bt_bydom,VpC_bt_bydom_se,RVpC_bt_of,RVpC_bt_of_se,RVpC_eez_by,RVpC_eez_by_se,RVpC_dom_by,RVpC_dom_by_se
1975,1059,6,28105,283,27045,283,210830.4087,108.3922624,210830.4087,108.3922624,1413683.971,10957.63643,1202853.562,10958.17252,3.8,0.04,14.9,0.1,,,,,,,,,,,,,,,,,,,849943.8901,0,1036490152,0,2470613.42,0,2915655787,0,609004.6322,0,775238865.1,0,240939.2579,0,261251286.9,0,849943.8901,0,1036490152,0,0,0,0,0,3320557.31,0,3952145939,0,25.59642285,0,26.22600906,0,71.65233368,0,74.79461948,0,100,0,100,0,199.0844275,1.132591467,44.47600525,0.617065004,,,199.0844275,1.132591467,50.30008792,0.639172134,,,,,4.476220973,0.067121776,,,,,4.031410342,0.002072631,2.053960264,0.01871188,4.031410342,0.002072631,,,,,1.962749919,1.79E-02,4916.227021,2.52753373,4916.227021,2.52753373,,,2423.949082,22.08253195,2.028189065,1.85E-02,,,1219.480679,0,1180.13436,0,1272.960539,0,1084.303526,0,1219.480679,0,0,0,1.033340542,0,1.173989117,0,,0
1976,1194,7,31676,295,30482,296,242925.869,108.207108,242925.869,108.207108,1604759.857,11227.32338,1361833.988,11227.84481,3.8,0.04,15.1,0.1,,,,,,,,,,,,,,,,,,,951552.6437,0,1651213521,0,2403381.904,0,3421225082,0,643280.9383,0,1158915944,0,308271.7054,0,492297577,0,951552.6437,0,1651213521,0,0,0,0,0,3354934.548,0,5072438603,0,28.36277817,0,32.55265663,0,67.60329474,0,70.18571065,0,100,0,100,0,203.4555017,1.196225528,44.67666124,0.569116413,,,203.4555017,1.196225528,50.6616952,0.590117436,,,,,4.55395493,0.063891841,,,,,3.917049459,0.001744782,1.76481269,0.014550263,3.917049459,0.001744782,,,,,2.219527024,1.83E-02,6797.190961,3.027690626,6797.190961,3.027690626,,,2512.218899,20.71236595,2.705652347,2.23E-02,,,1735.283415,0,1423.504553,0,1801.570473,0,1596.959982,0,1735.283415,0,0,0,1.219022034,0,1.128124996,0,,0
1977,1360,7,34371,293,33011,294,278618.0054,108.0287769,278618.0054,108.0287769,1778797.322,11118.37457,1500179.317,11118.89937,4,0.04,15.7,0.1,,,,,,,,,,,,,,,,,,,930186.4975,0,1369188494,0,2505388.068,0,3185831064,0,635932.8614,0,1034124864,0,294253.6361,0,335063630,0,930186.4975,0,1369188494,0,0,0,0,0,3435574.565,0,4555019558,0,27.07513634,0,30.05889385,0,68.36616776,0,75.52830516,0,100,0,100,0,204.8661804,1.057445912,45.44483103,0.526557376,,,204.8661804,1.057445912,51.75285334,0.547059855,,,,,4.508019411,0.057181709,,,,,3.338572811,0.001294467,1.670059065,0.012377999,3.338572811,0.001294467,,,,,1.999074692,1.48E-02,4914.213968,1.905392021,4914.213968,1.905392021,,,2123.633507,15.73976324,2.314059348,1.72E-02,,,1471.950515,0,1271.591856,0,1626.154154,0,1138.689854,0,1471.950515,0,0,0,1.157565226,0,1.428092248,0,,0
1978,1489,0,38018,293,36529,293,300302.694,0,300302.694,0,1902448.495,10507.97465,1602145.801,10507.97465,3.9,0.03,15.8,0.1,,,,,,,,,,,,,,,,,,,837515.1313,0,1160486493,0,2339366.403,0,2788276560,0,633685.1248,0,940073217.6,0,203830.0065,0,220413275.4,0,837515.1313,0,1160486493,0,0,0,0,0,3176881.534,0,3948763053,0,26.36280649,0,29.38860796,0,75.66252849,0,81.00682113,0,100,0,100,0,201.6807884,0,43.85955819,0.454435023,,,201.6807884,0,50.04073057,0.474474338,,,,,4.598331509,0.047643957,,,,,2.788903157,0,1.460145763,0.009576641,2.788903157,0,,,,,1.91001695,1.25E-02,3864.389219,0,3864.389219,0,,,1740.338837,11.41433968,2.220480941,1.46E-02,,,1385.63048,0,1191.893906,0,1483.502107,0,1081.35833,0,1385.63048,0,0,0,1.16254515,0,1.371887621,0,,0
1979,5845,763,41472,287,35627,815,367894.7983,85056.4129,367894.7983,85056.4129,2036594.655,9840.164276,1668699.857,85623.72457,14.1,1.84,18.1,4.2,,,,,,,,,,,,,,,,,,,730411.7742,0,1466208500,0,2106437.287,0,3054673340,0,598251.0987,0,1188613875,0,132160.6755,0,277594625,0,730411.7742,0,1466208500,0,0,0,0,0,2836849.061,0,4520881840,0,25.74729069,0,32.43191377,0,81.90600423,0,81.0671794,0,100,0,100,0,62.94179612,16.71134482,46.83806823,2.631362294,,,62.94179612,16.71134482,49.10770291,0.414476225,,,,,1.343817081,0.364689662,,,,,1.985382173,0.459015693,1.262322447,0.064771834,1.985382173,0.459015693,,,,,1.572801132,3.72E-01,3985.401552,921.415474,3985.401552,921.415474,,,1830.570865,93.92959127,2.177135903,5.16E-01,,,2007.372487,0,1450.161065,0,1986.814362,0,2100.432855,0,2007.372487,0,0,0,1.384241058,0,0.945907105,0,,0
1980,10202,763,48332,300,38130,1083,435486.9026,85056.4129,435486.9026,85056.4129,2329320.811,5259.309059,1893833.908,85218.8577,21.1,1.58,18.7,3.7,,,,,,,,,,,,,,,,,,,828469.5899,0,1352281995,0,2054991.838,0,2741462470,0,644051.901,0,1064951115,0,184417.6889,0,287330880,0,828469.5899,0,1352281995,0,0,0,0,0,2883461.428,0,4093744465,0,28.73177293,0,33.03288729,0,77.73995677,0,78.75214777,0,100,0,100,0,42.68642449,8.927561728,49.6678182,2.642937769,,,42.68642449,8.927561728,48.19417386,0.318321252,,,,,0.859438285,0.18547206,,,,,1.902398407,0.371563837,1.085096127,0.048827224,1.902398407,0.371563837,,,,,1.75320726,3.51E-01,3105.21852,606.490682,3105.21852,606.490682,,,1447.572809,65.13797261,2.145120784,4.30E-01,,,1632.265096,0,1334.050296,0,1653.51754,0,1558.044034,0,1632.265096,0,0,0,1.223540897,0,1.061277797,0,,0
1981,14107,1040,59247,342,45139,1698,837851.0952,83193.81673,837851.0952,83193.81673,2482108.863,5263.172521,1644257.768,83360.13512,23.8,1.76,33.8,3.4,,,,,,,,,,,,,,,,,,,852656.7338,0,999951483.7,0,2041053.742,0,2040337328,0,702556.0141,0,838118516.5,0,150100.7197,0,161832967.2,0,852656.7338,0,999951483.7,0,0,0,0,0,2893710.476,0,3040288812,0,29.46586194,0,32.89001623,0,82.39611396,0,83.81591809,0,100,0,100,0,59.39257781,7.345093667,36.42654396,2.299582313,,,59.39257781,7.345093667,41.89425394,0.25763227,,,,,1.630475234,0.226393317,,,,,1.017670966,0.1010489,1.241322244,0.062932219,1.017670966,0.1010489,,,,,0.819828188,9.14E-02,1193.471596,118.5048964,1193.471596,118.5048964,,,1240.886537,62.91012968,0.961789463,1.07E-01,,,1172.748005,0,999.648998,0,1192.956148,0,1078.1625,0,1172.748005,0,0,0,1.173159787,0,1.106471565,0,,0
1982,18045,1664,77780,446,59735,1403,1212141.679,110126.2042,1212141.679,110126.2042,2727372.122,5926.984964,1515230.443,110285.5838,23.2,2.14,44.4,4,,,,,,,,,,,,,,,,,,,965750.004,0,904826850.3,0,2292991.371,0,2050076278,0,864970.152,0,828069301.8,0,100779.852,0,76757548.5,0,965750.004,0,904826850.3,0,0,0,0,0,3258741.375,0,2954903128,0,29.63567503,0,30.62120182,0,89.56460248,0,91.51687989,0,100,0,100,0,67.17327121,8.695656427,25.36587332,1.93999254,,,67.17327121,8.695656427,35.06521113,0.215023605,,,,,2.648174985,0.398168333,,,,,0.7967303,0.072385007,1.513295474,0.110144748,0.7967303,0.072385007,,,,,0.526486938,6.13E-02,746.4695472,67.81868754,746.4695472,67.81868754,,,1352.979864,98.47622506,0.551722585,6.42E-02,,,936.9162273,0,894.0619245,0,957.3385855,0,761.6358526,0,936.9162273,0,0,0,1.047932142,0,1.256950526,0,,0
1983,21155,1331,93077,580,71923,1981,1444299.333,108777.5046,1444299.333,108777.5046,2893459.528,7086.36611,1449160.195,109008.0827,22.7,1.44,49.9,3.8,,,,,,,,,,,,,,,,,,,998966.9334,0,1830078066,0,2310275.217,0,2945445851,0,885221.692,0,1633725707,0,113745.2414,0,196352359,0,998966.9334,0,1830078066,0,0,0,0,0,3309242.15,0,4775523917,0,30.18718148,0,38.32203749,0,88.61371307,0,89.27082059,0,100,0,100,0,68.27224453,6.700027513,20.14877292,1.614030924,,,68.27224453,6.700027513,31.08672957,0.208138191,,,,,3.388407065,0.429242738,,,,,0.691661978,0.05209257,1.594216585,0.11991945,0.691661978,0.05209257,,,,,0.433856971,4.62E-02,1267.104418,95.43205728,1267.104418,95.43205728,,,2032.519152,152.8892503,0.623415734,6.64E-02,,,1831.970614,0,1274.932886,0,1845.555437,0,1726.2468,0,1831.970614,0,0,0,1.436915333,0,1.069114473,0,,0
1984,28146,1894,109585,787,81438,2154,2024568.428,146152.4794,2024568.428,146152.4794,3048902.435,8873.764373,1024334.007,146421.6204,25.7,1.74,66.4,4.8,,,,,,,,,,,,,,,,,,,1118333.087,0,1359806798,0,2596499.488,0,2168288158,0,992589.0077,0,1211516747,0,125744.0793,0,148290051,0,1118333.087,0,1359806798,0,0,0,0,0,3714832.575,0,3528094956,0,30.10453538,0,38.54223922,0,88.75611562,0,89.09477058,0,100,0,100,0,71.93094678,7.09879615,12.57808403,1.82847228,,,71.93094678,7.09879615,27.82226067,0.215594399,,,,,5.718752286,1.004807332,,,,,0.552380977,0.039876078,2.534817228,0.362334984,0.552380977,0.039876078,,,,,0.217917478,3.49E-02,671.6526738,48.48623648,671.6526738,48.48623648,,,2116.778456,302.579168,0.317299466,5.08E-02,,,1215.922889,0,835.0812962,0,1220.562325,0,1179.300463,0,1215.922889,0,0,0,1.456053314,0,1.034988421,0,,0
1985,32904,2005,129958,1098,97054,2516,2471284.661,162854.7059,2465992.661,162854.7059,3440043.042,12014.64964,968758.3814,163297.2965,25.3,1.56,71.8,4.7,12,0,12,0,0,0,32892,2005,5292,0,5292,0,0,0,100,0,100,0,1442237.174,0,1751810256,0,2842830.221,0,2452369538,0,1077973.079,0,1461196993,0,364264.095,0,290613263,0,1151781.58,0,1524585781,0,290455.594,0,227224475,0,4285067.395,0,4204179794,0,33.657281,0,41.66830016,0,74.7431212,0,83.41068834,0,79.86076082,0,87.02916174,0,75.10590387,6.741024668,9.981643017,1.702322029,441,0,74.9724146,6.737962258,26.47042154,0.242000747,441,0,,,7.52440292,1.450110718,5.882163491,0.015278826,,,0.583598157,0.038458421,2.934509033,0.494651092,0.467066102,0.03084515,54.88578874,0,117.5118222,7.760506973,0.198874207,3.60E-02,618.2442491,40.82898824,708.8662361,46.71343784,42937.35355,0,2531.456331,426.7111212,0.280023095,5.07E-02,69.4504698,4.586524531,1214.647832,0,862.6507204,0,1355.50416,0,797.8092461,0,1323.676127,0,782.3036626,0,1.408041288,0,1.699032904,0,1.692023431,0
1986,35968,2264,161165,1594,125197,2988,2948445.859,185113.4525,2932560.27,185114.3254,3991314.465,16523.61647,1042868.606,185849.4558,22.3,1.42,73.9,4.6,23,0,21,0,2,0,35947,2264,20133.9,0,15885.5889,568.4870798,4248.3111,568.4870798,91.3043478,0,78.8997109,2.8235319,1837871.41,0,1924946917,0,2861730.654,0,2138778627,0,1219443.107,0,1406975060,0,618428.303,0,517971857,0,1419273.644,0,1592424895,0,418597.766,0,332522022,0,4699602.064,0,4063725544,0,39.1069581,0,47.3690188,0,66.35083937,0,73.09162905,0,77.22377291,0,82.72565238,0,81.97413976,7.287776745,8.32982105,1.497709106,756.4566143,27.07081332,81.58011156,7.274502062,24.76539239,0.265533527,875.3869565,0,2124.15555,284.2435399,9.841044516,1.97391244,9.272561655,0.890936304,0.356121102,0.049328974,0.623335648,0.039135131,2.744095121,0.489024775,0.483970835,0.030550075,26.35078678,0.942998206,54.44705517,3.950799004,0.227155263,4.29E-02,543.0152319,34.27718071,652.8683276,40.98929264,20932.30689,749.0906439,2050.861072,365.4836399,0.318338642,6.01E-02,38.54828679,2.797149131,1047.378455,0,747.3724419,0,1153.784914,0,837.5616939,0,1121.999906,0,794.3712294,0,1.401414336,0,1.377552152,0,1.412437742,0
1987,41211,2527,192532,2193,151321,3383,3563022.783,208968.6473,3536668.662,208973.0521,4617327.571,22216.4073,1054304.788,210146.2926,21.4,1.33,77.2,4.5,58,0,50,0,8,0,41161,2527,42691.325,0,26354.1215,1356.820089,16337.2035,1356.820089,86.2068966,0,61.7317956,3.1782103,2182117.763,0,2000422005,0,3446351.968,0,2561853525,0,1376551.088,0,1525187312,0,805566.675,0,475234693,0,1636719.661,0,1688724275,0,545398.102,0,311697730,0,5628469.731,0,4562275530,0,38.76929019,0,43.84702309,0,63.08326303,0,76.24327808,0,75.00601887,0,84.41840126,0,86.45805205,7.336058122,6.96733955,1.397453252,527.08243,27.13640178,85.92280706,7.321332094,23.98213061,0.296535991,736.0573276,0,2042.150438,169.6025111,12.40904816,2.702462566,6.13437163,0.610703295,0.258101666,0.025220215,0.612434412,0.035918825,3.268838392,0.651551882,0.462785694,0.027344868,20.69498321,1.065464048,44.71828642,3.504600736,0.187355366,3.89E-02,477.4901005,28.21371556,561.4395772,32.92801538,11827.28591,608.9180065,2429.898407,484.3325644,0.231054753,4.80E-02,24.76969868,1.941217144,916.7342106,0,743.3522602,0,1107.977267,0,589.9383723,0,1031.773684,0,571.5049775,0,1.233243322,0,1.878123748,0,1.805362552,0
1988,41590,2575,213349,2747,171759,3881,4128961.728,227101.7267,4100296.728,227101.7267,5350800.606,29305.25731,1221838.878,228984.699,19.5,1.23,77.2,4.3,80,0,65,0,15,0,41525,2575,57535.9749,0,28665,0,28870.9749,0,81.25,0,49.8210034,0,2397947.341,0,2504493508,0,3506068.668,0,2624477522,0,1579579.006,0,1981810844,0,818368.335,0,522682664,0,1811480.442,0,2157412161,0,586466.899,0,347081347,0,5904016.009,0,5128971030,0,40.61552911,0,48.83033055,0,65.87213068,0,79.13020488,0,75.54296173,0,86.14165515,0,99.27775254,8.22183378,7.113681833,1.342829343,441,0,98.74284715,8.209935184,25.08003603,0.350920555,719.1996863,0,1924.73166,0,13.95588879,2.876795857,4.466146285,0.018616633,0.229122848,0,0.580762792,0.031943196,2.869501643,0.537773009,0.441792524,0.024469411,20.45933714,0,46.30983099,2.564946705,0.202391517,3.95E-02,526.1600084,29.14224369,606.5673825,33.36250346,12108.19281,0,2147.973492,402.5514923,0.282390534,5.52E-02,23.01237764,1.274578657,1044.432238,0,748.552801,0,1254.644963,0,638.6887684,0,1190.966301,0,591.817454,0,1.395268626,0,1.964407432,0,2.012387929,0
1989,44446,2742,229523,3279,185076,4329,4706526.971,242441.1876,4670203.331,242455.1461,6064270.253,37058.59125,1357743.282,245257.148,19.4,1.23,77.6,4,114,0,85,0,29,0,44361,2742,73738.5445,0,36323.63963,2601.623438,37414.90487,2601.623438,74.5614035,0,49.2600442,3.528173,2972223.924,0,3257733260,0,3577971.662,0,2914460017,0,1632693.298,0,2442127829,0,1339530.626,0,815605431,0,2097919.962,0,2728779657,0,874303.962,0,528953603,0,6550195.586,0,6172193277,0,45.37610954,0,52.78080439,0,54.93170568,0,74.9640205,0,70.58418261,0,83.76313956,0,105.8931506,8.510714564,7.33613911,1.336233593,427.3369368,30.60733456,105.277233,8.498036282,26.42118765,0.410539748,646.8293377,0,1290.169133,89.71115303,14.43445237,2.87372118,4.059158135,0.438045461,0.331225516,0.033064452,0.631511079,0.032530207,2.635234296,0.476017857,0.449213838,0.023321085,24.06983361,1.723963895,53.58212855,4.739858348,0.23964134,4.50E-02,584.2956856,30.33390321,692.1735029,35.65503122,14562.24124,1042.997577,2146.547183,387.7434321,0.322459021,6.06E-02,24.92272594,2.204656549,1096.059161,0,814.556484,0,1495.766432,0,608.8740453,0,1300.707227,0,604.9996637,0,1.345590125,0,2.456610597,0,2.149930496,0
1990,47166,2826,239192,3726,192027,4787,5266280.202,253912.1477,5206624.13,253935.2951,6538262.607,43758.90958,1271982.405,257655.2366,19.7,1.22,80.5,3.9,175,0,120,0,55,0,47046,2826,110306.1811,0,59656.07181,3428.610216,50650.10929,3428.610216,68.5714286,0,54.0822565,3.1082666,3389710.681,0,2204321924,0,3690540.612,0,2013704386,0,1874318.317,0,1675243929,0,1515392.364,0,529077995,0,2358216.734,0,1855795119,0,1031493.947,0,348526805,0,7080251.293,0,4218026310,0,47.87557024,0,52.25955843,0,55.29434496,0,75.99815212,0,69.56985289,0,84.18893351,0,111.6541619,8.586916324,6.623976863,1.351888411,497.1339318,28.5717518,110.6709206,8.563195071,27.33478798,0.463443228,630.3210349,0,920.911078,62.33836756,16.85606158,3.67629806,4.492001414,0.432961732,0.539828376,0.0479365,0.643663184,0.031034031,2.90140854,0.587714972,0.452926248,0.02208993,17.29067831,0.993746227,38.17548303,2.877582414,0.221845071,4.62E-02,356.4296313,17.38363695,418.5728521,20.18136669,5842.268765,335.7723995,1583.122831,320.6804481,0.264396953,5.51E-02,16.39108607,1.235523359,650.297955,0,545.6394056,0,893.7883783,0,349.135978,0,786.9484989,0,337.8854583,0,1.191809001,0,2.560000787,0,2.329039264,0
1991,50448,3004,237437,3967,186989,5042,5767113.205,260381.0317,5684671.018,260413.5591,6965545.263,50171.43662,1198432.058,265170.6144,21.2,1.31,82.8,3.8,258,0,194,24,64,24,50254,3004.095871,132049,0,82442.18675,4115.837274,49606.81325,4115.837274,75.1937984,9.3023256,62.4330262,3.1169015,3916099.248,0,1850128862,0,3625294.725,0,1334647696,0,2047007.91,0,1350104219,0,1869091.338,0,500024643,0,2621207.098,0,1522339060,0,1294892.15,0,327789802,0,7541393.973,0,3184776558,0,51.9280555,0,58.09289375,0,52.27160448,0,72.97352345,0,66.93413348,0,82.28286641,0,114.317975,8.542727014,6.409104589,1.428599301,424.9597255,56.69175159,113.118777,8.519259563,29.3363935,0.533748168,511.8178295,0,775.106457,297.6942511,17.83680909,4.193332416,3.756756719,0.575518314,0.548259819,0.222910455,0.679039774,0.03065816,3.025031499,0.669332446,0.461100931,0.021122935,15.70666913,0.78413852,34.06340799,2.308015066,0.224473621,5.07E-02,267.7972138,12.26773288,320.8067531,14.48419519,3975.995967,198.4973112,1113.661544,246.4138988,0.288064857,6.51E-02,14.84704008,1.005982496,472.4417705,0,368.148743,0,659.5500742,0,267.5228507,0,580.7778642,0,253.1406202,0,1.283290462,0,2.465397152,0,2.294289489,0
1992,52538,3111,238517,4207,185979,5303,6210341.931,262289.6984,5988434.581,262289.6984,7515915.901,57294.26633,1305573.97,268474.4286,22,1.36,82.6,3.5,432,0,241,0,191,0,52297,3111,308725,0,221907.35,0,86817.65,0,55.787037,0,71.878646,0,4381690.046,0,3374427465,0,4133394.279,0,2511689327,0,2387032.603,0,2321032559,0,1994657.443,0,1053394906,0,2953846.746,0,2778063346,0,1427843.3,0,596364119,0,8515084.325,0,5886116792,0,51.45797597,0,57.32858494,0,54.47744085,0,68.78300343,0,67.41341161,0,82.32695397,0,118.2066681,8.597510619,7.020007474,1.457385647,920.7773859,0,114.5081856,8.458975929,31.51102815,0.60548386,714.6412037,0,454.5426702,0,16.83853878,3.704085453,8.041149033,0.009186776,2.025722658,0,0.70554731,0.029798326,3.165959474,0.651038685,0.493258581,0.021604418,6.434411929,0,13.04470347,0.571349873,0.222854183,4.68E-02,463.9047665,20.31873934,543.3561473,22.94828877,2687.446446,0,1923.820009,395.6087434,0.282436062,5.93E-02,5.793099445,0.253734141,770.1200746,0,607.6578128,0,972.3505896,0,528.108177,0,940.4900067,0,417.6677644,0,1.267358139,0,1.841195861,0,2.251765846,0
1993,55064,3229,245857,4508,190793,5658,6571833.299,259250.6399,6297542.065,259707.3676,7772916.386,61687.40338,1201083.087,266488.7053,22.4,1.38,84.5,3.4,828,0,267,27,561,27,54797,3229.112881,353024,0,274291.2339,15395.5353,78732.7661,15395.5353,32.2463768,3.2608696,77.6976166,4.3610449,5069770.913,0,4425661604,0,4436888.615,0,2833704795,0,2553286.114,0,2814905822,0,2516484.799,0,1610755782,0,3401813.345,0,3655853001,0,1667957.568,0,769808603,0,9506659.528,0,7259366399,0,53.32862609,0,60.9648468,0,50.3629485,0,63.60418111,0,67.09994206,0,82.60579611,0,119.3489993,8.434989187,6.295215689,1.409163358,1027.307992,118.8146505,114.9249423,8.266035771,31.61559925,0.631669127,426.3574879,0,140.3436116,28.26203806,18.9586831,4.450338604,8.938947207,1.217459067,7.319948378,1.699887729,0.771439366,0.030432322,3.69407301,0.819617514,0.540181123,0.022276789,6.080972929,0.341315441,11.25728514,0.784067691,0.208831651,4.71E-02,580.5206163,23.94036904,673.4287683,26.5659263,2806.537387,157.5265268,2359.291231,523.4645899,0.285436897,6.43E-02,4.834518032,0.336723228,872.9510031,0,638.6693561,0,1102.463922,0,640.0816658,0,1074.677718,0,461.5276898,0,1.366827756,0,1.722380097,0,2.328522733,0
1994,59380,3419,252432,4737,193051,6166,6885008.112,252230.7579,6497148.694,253282.8031,7967108.2,64736.07034,1082100.088,260405.6721,23.5,1.42,86.4,3.2,914,0,305,29,609,29,59075,3419.122987,474244,0,387859.4178,23061.29072,86384.5822,23061.29072,33.3698031,3.1728665,81.7847812,4.862748,5681309.961,0,4265757912,0,5206141.309,0,2663872576,0,3157491.187,0,2819679771,0,2523818.774,0,1446078141,0,4066338.241,0,3666095196,0,1614971.72,0,599662716,0,10887451.27,0,6929630488,0,52.18218498,0,61.55823055,0,55.57681606,0,66.1003233,0,71.57395511,0,85.94241098,0,115.9482673,7.912879966,5.605255026,1.360724667,1271.670222,142.6075818,109.9813575,7.674738156,31.56140347,0.64540137,518.8665208,0,141.8466046,38.46518028,20.68563638,5.216275083,11.56259798,1.527198571,8.965108651,2.630788489,0.825171135,0.030229963,4.811145814,1.157794619,0.625865042,0.024398526,4.1638069,0.247571045,6.652883001,0.473008509,0.171512394,4.17E-02,564.2621662,21.99701898,619.5719515,22.69788217,1546.082649,91.92676471,2461.761722,592.4190589,0.251678278,6.13E-02,2.740007644,0.194809819,750.8405528,0,511.6788842,0,893.0127129,0,572.9722577,0,901.57163,0,371.3146853,0,1.467405781,0,1.558561869,0,2.428052716,0
1995,69348,3947,266297,5030,196949,6382,7317000.809,244279.6877,6799333.46,246416.3821,9360955.631,76519.02979,2043954.822,255983.8428,26,1.56,78.2,2.7,1250,0,344,31,906,31,69004,3947.121736,618131,0,517667.3495,32380.04834,100463.6505,32380.04834,27.52,2.48,83.747191,5.2383796,6883199.07,0,5880977732,0,5506017.8,0,3517214685,0,3621302.134,0,3842866096,0,3261896.936,0,2038111636,0,4774016.279,0,4929736751,0,2109182.791,0,951240981,0,12389216.87,0,9398192417,0,55.55798355,0,62.57562594,0,52.61074243,0,65.34400012,0,69.35752156,0,83.82512187,0,105.5113458,6.962139069,10.3780919,1.342548424,1504.846946,165.077221,98.53535244,6.672395212,35.15231351,0.723489934,494.5048,0,110.8870315,35.94039869,10.16673843,1.476417474,15.27215267,1.968796589,13.57099136,4.643687498,0.940713176,0.031405917,2.693806018,0.33737087,0.702130041,0.025446074,4.074397957,0.254853243,5.802910744,0.41949548,0.349213407,4.53E-02,725.032355,26.27608292,803.7415719,26.83308986,1837.552594,114.9387573,1720.788859,215.510705,0.467077392,6.05E-02,2.534442196,0.183216164,854.395997,0,638.7946448,0,1061.183506,0,624.8240444,0,1032.618337,0,450.999783,0,1.337512773,0,1.698371751,0,2.289620474,0
1996,68167,3927,272006,5081,203839,6549,7840354.982,233579.3873,7261990.607,236690.8727,10286220.39,82975.1628,2445865.408,247879.4219,25.1,1.52,76.2,2.4,1325,0,383,33,942,33,67784,3927.138653,689279,0,578364.3751,38252.30757,110914.6249,38252.30757,28.9056604,2.490566,83.9086023,5.5496116,7693244.988,0,6829147438,0,6206345.582,0,4306672854,0,4178029.456,0,4597847993,0,3515215.532,0,2231299445,0,4708098.36,0,4894282027,0,2985146.628,0,1934865411,0,13899590.57,0,11135820292,0,55.34871656,0,61.32594869,0,54.30776561,0,67.32682278,0,61.19782182,0,71.66754081,0,115.0168701,7.459534637,11.99900612,1.27569814,1510.089752,164.0252667,107.1342884,7.121730607,37.81615255,0.769447724,520.210566,0,117.7437632,40.81649849,9.585533083,1.193758844,14.09529829,1.794985492,12.82522073,4.659070965,0.98123682,0.029232949,2.537484508,0.257164679,0.648320635,0.021130787,5.161359787,0.341365981,7.961122183,0.587002409,0.386696674,4.08E-02,673.9587383,21.96641259,871.0252857,25.94953328,3345.409044,221.2612346,1760.797156,178.4502858,0.494676677,5.23E-02,4.963818782,0.366000359,887.6810044,0,693.9144456,0,1100.482426,0,634.7546615,0,1039.545407,0,648.1642787,0,1.279236958,0,1.733713028,0,1.603830142,0
